Pathway	Utah Expression 24vs35 PermutedAUCs	Ontario Expression 24vs35 PermutedAUCs	Utah Expression 0124vs35 PermutedAUCs	Ontario Expression 0124vs35 PermutedAUCs	Lim PermutedAUCs	Bellacosa Breast PermutedAUCs
REACTOME_E2F_TRANSCRIPTIONAL_TARGETS_AT_G1_S	0.007	0.287	0.028	0.322	0.14	1
REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE	0.016	0.279	0.001	0.43	0.048	0.998
REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS	0.022	0.026	0.162	0.03	0.997	0.101
REACTOME_EGFR_DOWNREGULATION	0.001	0.123	0.001	0.294	0.067	0.925
REACTOME_EICOSANOID_LIGAND_BINDING_RECEPTORS	0.758	0.915	0.308	0.969	0.136	0.717
REACTOME_ELECTRON_TRANSPORT_CHAIN	0.007	0.194	0.061	0.13	0.026	0.193
REACTOME_ELONGATION_AND_PROCESSING_OF_CAPPED_TRANSCRIPTS	0.001	0.886	0.001	0.577	0.019	0.711
REACTOME_ENDOGENOUS_STEROLS	0.683	0.272	0.255	0.606	1	0.999
REACTOME_ENERGY_DEPENDENT_REGULATION_OF_MTOR_BY_LKB1_AMPK	0.001	0.722	0.012	0.463	0.175	1
REACTOME_ERKS_ARE_INACTIVATED	0.953	0.203	0.057	0.331	0.032	0.042
REACTOME_ERK_MAPK_TARGETS	0.012	0.168	0.021	0.346	0.038	0.022
REACTOME_ETHANOL_OXIDATION	0.696	0.986	0.444	0.859	0.051	0.683
REACTOME_EXTENSION_OF_TELOMERES	0.034	0.12	0.025	0.142	0.155	0.986
REACTOME_FACILITATIVE_NA_INDEPENDENT_GLUCOSE_TRANSPORTERS	0.01	0.911	0.488	0.151	0.998	0.001
REACTOME_FANCONI_ANEMIA_PATHWAY	0.009	0.022	0.018	0.006	0.085	0.971
REACTOME_FGFR_LIGAND_BINDING_AND_ACTIVATION	0.731	0.687	0.897	0.221	0.038	1
REACTOME_FORMATION_AND_MATURATION_OF_MRNA_TRANSCRIPT	0.001	0.911	0.001	0.776	0.027	0.14
REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING	0.468	0.277	0.013	0.306	0.024	0.109
REACTOME_FORMATION_OF_A_POOL_OF_FREE_40S_SUBUNITS	0.001	0.867	0.001	0.153	0.027	0.952
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	0.429	0.898	0.32	0.13	0.027	0.786
REACTOME_FORMATION_OF_PLATELET_PLUG	0.002	0.058	0.001	0.014	0.031	0.066
REACTOME_FORMATION_OF_THE_EARLY_ELONGATION_COMPLEX	0.075	0.019	0.202	0.171	0.023	0.102
REACTOME_FORMATION_OF_THE_TERNARY_COMPLEX_AND_SUBSEQUENTLY_THE_43S_COMPLEX	0.002	0.894	0.001	0.153	0.06	1
REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC	0.228	0.384	0.02	0.635	0.807	0.816
REACTOME_FRS2MEDIATED_CASCADE	0.666	0.04	0.993	0.884	0.04	1
REACTOME_FRS2_MEDIATED_ACTIVATION	0.034	0.207	0.101	0.24	0.055	0.054
REACTOME_FURTHER_PLATELET_RELEASATE	0.023	0.44	0.013	0.039	0.965	1
REACTOME_G1_PHASE	0.003	0.042	0.002	0.126	0.052	0.02
REACTOME_G1_S_TRANSITION	0.001	0.025	0.002	0.282	0.018	0.045
REACTOME_G2_M_CHECKPOINTS	0.004	0.324	0.09	0.304	0.029	0.849
REACTOME_G2_M_TRANSITION	0.002	0.155	0.001	0.131	0.018	0.068
REACTOME_GAB1_SIGNALOSOME	0.287	0.624	0.038	0.099	0.027	0.001
REACTOME_GAMMA_CARBOXYLATION_TRANSPORT_AND_AMINO_TERMINAL_CLEAVAGE_OF_PROTEINS	0.821	0.655	0.35	0.762	1	0.042
REACTOME_GAP_JUNCTION_ASSEMBLY	0.795	0.311	0.815	0.12	0.006	0.996
REACTOME_GAP_JUNCTION_DEGRADATION	0.151	0.038	0.138	0.2	0.992	1
REACTOME_GAP_JUNCTION_TRAFFICKING	0.894	0.855	0.314	0.015	0.105	0.064
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	0.011	0.829	0.015	0.371	0.133	0.134
REACTOME_GENERIC_TRANSCRIPTION_PATHWAY	0.016	0.092	0.023	0.208	0.032	0.063
REACTOME_GENES_INVOLVED_IN_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS	0.001	0.062	0.006	0.499	0.077	0.055
REACTOME_GENE_EXPRESSION	0.004	0.534	0.002	0.193	0.018	0.164
REACTOME_GLOBAL_GENOMIC_NER	0.49	0.093	0.006	0.077	0.014	0.7
REACTOME_GLUCAGON_SIGNALING_IN_METABOLIC_REGULATION	0.063	0.075	0.002	0.131	0.042	1
REACTOME_GLUCAGON_TYPE_LIGAND_RECEPTORS	0.093	0.326	0.005	0.05	0.43	0.392
REACTOME_GLUCONEOGENESIS	0.023	0.285	0.013	0.168	0.081	0.981
REACTOME_GLUCOSE_AND_OTHER_SUGAR_SLC_TRANSPORTERS	0.139	0.086	0.006	0.111	0.886	0.01
REACTOME_GLUCOSE_METABOLISM	0.008	0.104	0.012	0.016	0.052	0.191
REACTOME_GLUCOSE_REGULATION_OF_INSULIN_SECRETION	0.006	0.063	0.002	0.02	0.015	0.176
REACTOME_GLUCOSE_TRANSPORT	0.018	0.958	0.015	0.371	0.047	0.201
REACTOME_GLUCURONIDATION	0.813	0.308	0.797	0.764	0.967	0.123
REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE	0.122	0.948	0.974	0.004	0.008	0.732
REACTOME_GLUTATHIONE_CONJUGATION	0.057	0.172	0.352	0.14	0.977	0.803
REACTOME_GLYCOGEN_BREAKDOWN_GLYCOGENOLYSIS	0.044	0.079	0.003	0.018	0.108	1
REACTOME_GLYCOLYSIS	0.02	0.046	0.002	0.036	0.37	1
REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS	0.004	0.278	0.009	0.44	0.032	0.116
REACTOME_GPCR_LIGAND_BINDING	0.003	0.417	0.002	0.065	0.073	0.054
REACTOME_GRB2_EVENTS_IN_EGFR_SIGNALING	0.023	0.037	0.004	0.022	0.035	0.664
REACTOME_GRB2_SOS_PROVIDES_LINKAGE_TO_MAPK_SIGNALING_FOR_INTERGRINS_	0.003	0.018	0.002	0.163	0.026	0.037
REACTOME_GS_ALPHA_MEDIATED_EVENTS_IN_GLUCAGON_SIGNALLING	0.011	0.062	0.009	0.069	0.038	1
REACTOME_GTP_HYDROLYSIS_AND_JOINING_OF_THE_60S_RIBOSOMAL_SUBUNIT	0.001	0.706	0.001	0.193	0.018	0.447
REACTOME_G_ALPHA_12_13_SIGNALLING_EVENTS	0.01	0.142	0.037	0.167	0.068	0.014
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	0.003	0.012	0.006	0.011	0.039	0.116
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS	0.015	0.265	0.034	0.015	0.026	0.003
REACTOME_G_ALPHA_S_SIGNALLING_EVENTS	0.001	0.159	0.003	0.154	0.323	0.053
REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS	0.417	0.211	0.057	0.009	1	1
REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PI3KGAMMA	0.006	0.414	0.002	0.203	0.03	0.588
REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PLC_BETA	0.077	0.529	0.015	0.198	0.03	0.925
REACTOME_G_PROTEIN_ACTIVATION	0.003	0.894	0.172	0.306	0.179	0.947
REACTOME_G_PROTEIN_BETA_GAMMA_SIGNALLING	0.048	0.447	0.002	0.228	0.03	0.857
REACTOME_HDL_MEDIATED_LIPID_TRANSPORT	0.523	0.036	0.408	0.032	0.058	1
REACTOME_HEMOSTASIS	0.003	0.038	0.001	0.042	0.032	0.085
REACTOME_HIV1_TRANSCRIPTION_ELONGATION	0.027	0.115	0.055	0.208	0.028	0.417
REACTOME_HIV1_TRANSCRIPTION_INITIATION	0.052	0.02	0.011	0.094	0.021	0.069
REACTOME_HIV_INFECTION	0.006	0.399	0.003	0.612	0.014	0.169
REACTOME_HIV_LIFE_CYCLE	0.004	0.683	0.001	0.187	0.02	0.278
REACTOME_HOMOLOGOUS_RECOMBINATION_REPAIR	0.104	0.071	0.017	0.024	0.185	1
REACTOME_HORMONE_BIOSYNTHESIS	0.03	0.208	0.218	0.273	0.351	0.041
REACTOME_HORMONE_LIGAND_BINDING_RECEPTORS	0.52	0.077	0.89	0.059	1	0.348
REACTOME_HORMONE_SENSITIVE_LIPASE_HSL_MEDIATED_TRIACYLGLYCEROL_HYDROLYSIS	0.027	0.88	0.908	0.679	0.004	0.541
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS	0.003	0.804	0.002	0.655	0.01	0.512
REACTOME_HUMAN_TAK1_ACTIVATES_NFKB_BY_PHOSPHORYLATION_AND_ACTIVATION_OF_IKKS_COMPLEX	0.005	0.623	0.139	0.739	0.019	0.349
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	0.002	0.496	0.006	0.118	0.505	0.273
REACTOME_INACTIVATION_OF_APC_VIA_DIRECT_INHIBITION_OF_THE_APCOMPLEX	0.001	0.595	0.002	0.671	0.1	0.922
REACTOME_INFLUENZA_LIFE_CYCLE	0.002	0.745	0.002	0.207	0.017	0.085
REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION	0.001	0.662	0.001	0.029	0.084	0.033
REACTOME_INHIBITION_OF_INSULIN_SECRETION_BY_ADRENALINE_NORADRENALINE	0.13	0.344	0.006	0.181	0.035	0.845
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	0.796	0.235	0.851	0.293	0.028	0.966
REACTOME_INNATE_IMMUNITY_SIGNALING	0.001	0.033	0.003	0.186	0.014	0.008
REACTOME_INORGANIC_CATION_ANION_SLC_TRANSPORTERS	0.165	0.016	0.036	0.019	0.01	0.105
REACTOME_INSULIN_SYNTHESIS_AND_SECRETION	0.005	0.212	0.002	0.047	0.012	0.022
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	0.003	0.178	0.001	0.154	0.02	0.217
REACTOME_INTEGRIN_ALPHAIIBBETA3_SIGNALING	0.004	0.017	0.007	0.097	0.027	0.839
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	0.001	0.013	0.001	0.037	0.038	0.007
REACTOME_INTRINSIC_PATHWAY	0.189	0.55	0.48	0.038	0.038	0.907
REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS	0.054	0.132	0.172	0.367	0.022	0.254
REACTOME_IONOTROPIC_ACTIVITY_OF_KAINATE_RECEPTORS	0.283	0.424	0.438	0.387	0.948	1
REACTOME_IRS_RELATED_EVENTS	0.001	0.199	0.001	0.064	0.037	0.117
REACTOME_JNK_PHOSPHORYLATION_AND_ACTIVATION_MEDIATED_BY_ACTIVATED_HUMAN_TAK1	0.599	0.556	0.951	0.617	1	0.176
REACTOME_LAGGING_STRAND_SYNTHESIS	0.821	0.951	0.352	0.254	0.096	0.987
REACTOME_LATE_PHASE_OF_HIV_LIFE_CYCLE	0.002	0.096	0.002	0.57	0.028	0.731
REACTOME_LIPOPROTEIN_METABOLISM	0.503	0.119	0.714	0.051	0.12	1
REACTOME_LOSS_OF_NLP_FROM_MITOTIC_CENTROSOMES	0.001	0.084	0.001	0.211	0.013	0.019
REACTOME_LYSOSOME_VESICLE_BIOGENESIS	0.89	0.104	0.052	0.015	0.029	0.257
REACTOME_MAPK_TARGETS_NUCLEAR_EVENTS_MEDIATED_BY_MAP_KINASES	0.069	0.264	0.011	0.513	0.032	0.036
REACTOME_MAP_KINASES_ACTIVATION_IN_TLR_CASCADE	0.026	0.597	0.002	0.544	0.03	0.011
REACTOME_MEMBRANE_TRAFFICKING	0.036	0.349	0.001	0.368	0.029	0.057
REACTOME_METABLISM_OF_NUCLEOTIDES	0.026	0.098	0.002	0.017	0.148	0.766
REACTOME_METABOLISM_OF_AMINO_ACIDS	0.001	0.005	0.001	0.166	0.072	0.25
REACTOME_METABOLISM_OF_BILE_ACIDS_AND_BILE_SALTS	0.581	0.065	0.129	0.049	1	0.72
REACTOME_METABOLISM_OF_CARBOHYDRATES	0.006	0.028	0.001	0.211	0.123	0.059
REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS	0.001	0.134	0.006	0.089	0.084	0.014
REACTOME_METABOLISM_OF_MRNA	0.001	0.897	0.014	0.201	0.029	0.123
REACTOME_METABOLISM_OF_NITRIC_OXIDE	0.157	0.688	0.008	0.101	0.065	1
REACTOME_METABOLISM_OF_PROTEINS	0.003	0.864	0.001	0.419	0.067	0.035
REACTOME_METABOLISM_OF_RNA	0.001	0.996	0.008	0.929	0.021	0.046
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	0.011	0.082	0.006	0.053	0.461	0.702
REACTOME_METAL_ION_SLC_TRANSPORTERS	0.942	0.01	0.139	0.021	1	0.697
REACTOME_MICRORNA_BIOGENESIS	0.098	0.012	0.133	0.083	0.023	0.231
REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION	0.082	0.069	0.046	0.008	0.13	0.736
REACTOME_MITOCHONDRIAL_TRNA_AMINOACYLATION	0.112	0.135	0.758	0.066	0.018	0.41
REACTOME_MITOTIC_M_M_G1_PHASES	0.001	0.411	0.002	0.357	0.008	0.07
REACTOME_MITOTIC_PROMETAPHASE	0.001	0.953	0.005	0.84	0.008	0.041
REACTOME_MRNA_3_END_PROCESSING	0.005	0.961	0.01	0.632	0.011	0.996
REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE	0.759	0.925	0.694	0.975	0.043	0.949
REACTOME_MRNA_DECAY_BY_5_TO_3_EXORIBONUCLEASE	0.668	0.944	0.896	0.87	0.019	0.204
REACTOME_MRNA_PROCESSING	0.097	0.016	0.011	0.042	0.025	0.008
REACTOME_MRNA_SPLICING	0.001	0.716	0.001	0.172	0.022	0.655
REACTOME_MRNA_SPLICING_MINOR_PATHWAY	0.003	0.281	0.003	0.015	0.031	0.014
REACTOME_MTORC1_MEDIATED_SIGNALLING	0.006	0.471	0.055	0.075	0.324	1
REACTOME_MTOR_SIGNALLING	0.002	0.784	0.009	0.481	0.117	1
REACTOME_MUSCLE_CONTRACTION	0.497	0.62	0.002	0.059	0.161	0.021
REACTOME_MYD88_CASCADE	0.188	0.044	0.262	0.052	0.141	0.012
REACTOME_MYOGENESSIS	0.001	0.185	0.003	0.406	0.075	1
REACTOME_M_G1_TRANSITION	0.03	0.095	0.005	0.145	0.033	0.153
REACTOME_NA_CL_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS	0.381	0.085	0.63	0.013	0.994	0.724
REACTOME_NCAM1_INTERACTIONS	0.003	0.002	0.079	0.05	0.088	0.009
REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH	0.001	0.009	0.001	0.147	0.05	0.011
REACTOME_NEF_MEDIATED_DOWNREGULATION_OF_MHC_CLASS_I_COMPLEX_CELL_SURFACE_EXPRESSION	0.424	0.01	0.057	0.003	0.033	1
REACTOME_NEF_MEDIATES_DOWN_MODULATION_OF_CELL_SURFACE_RECEPTORS_BY_RECRUITING_THEM_TO_CLATHRIN_ADAPTERS	0.049	0.146	0.003	0.015	0.02	1
REACTOME_NEP_NS2_INTERACTS_WITH_THE_CELLULAR_EXPORT_MACHINERY	0.002	0.465	0.013	0.759	0.05	0.948
REACTOME_NEURORANSMITTER_RECEPTOR_BINDING_AND_DOWNSTREAM_TRANSMISSION_IN_THE_POSTSYNAPTIC_CELL	0.01	0.022	0.005	0.443	0.088	0.011
REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE	0.963	0.961	0.965	0.983	0.04	0.893
REACTOME_NF_KB_IS_ACTIVATED_AND_SIGNALS_SURVIVAL	0.398	0.868	0.337	0.113	0.029	1
REACTOME_NOREPINEPHRINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.327	0.9	0.959	0.9	0.115	0.563
REACTOME_NOTCH_HLH_TRANSCRIPTION_PATHWAY	0.005	0.87	0.001	0.148	0.067	0.999
REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK	0.013	0.015	0.012	0.086	0.022	0.008
REACTOME_NRIF_SIGNALS_CELL_DEATH_FROM_THE_NUCLEUS	0.358	0.517	0.884	0.878	0.756	0.999
REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION	0.035	0.135	0.002	0.475	0.028	0.018
REACTOME_NUCLEAR_IMPORT_OF_REV_PROTEIN	0.004	0.953	0.003	0.966	0.044	1
REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY	0.272	0.354	0.171	0.175	0.019	0.01
REACTOME_NUCLEOTIDE_EXCISION_REPAIR	0.052	0.042	0.002	0.02	0.029	0.116
REACTOME_NUCLEOTIDE_LIKE_PURINERGIC_RECEPTORS	0.091	0.059	0.011	0.043	0.308	0.79
REACTOME_OLFACTORY_SIGNALING_PATHWAY	0.145	0.551	0.022	0.983	0.118	0.35
REACTOME_OPIOID_SIGNALLING	0.005	0.552	0.001	0.302	0.042	0.135
REACTOME_OPSINS	0.879	0.215	0.562	0.554	0.033	1
REACTOME_ORC1_REMOVAL_FROM_CHROMATIN	0.049	0.111	0.147	0.429	0.018	0.027
REACTOME_OTHER_SEMAPHORIN_INTERACTIONS	0.735	0.78	0.855	0.934	0.225	0.418
REACTOME_P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS	0.003	0.032	0.002	0.021	0.023	0.998
REACTOME_P2Y_RECEPTORS	0.366	0.751	0.092	0.083	0.816	0.023
REACTOME_P38MAPK_EVENTS	0.489	0.269	0.27	0.482	0.842	0.96
REACTOME_P53_INDEPENDENT_DNA_DAMAGE_RESPONSE	0.005	0.089	0.143	0.366	0.075	0.025
REACTOME_P75NTR_RECRUITS_SIGNALLING_COMPLEXES	0.993	0.622	0.878	0.995	0.036	0.998
REACTOME_P75NTR_SIGNALS_VIA_NFKB	0.639	0.854	0.374	0.084	0.029	1
REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING	0.171	0.028	0.008	0.09	0.026	0.012
REACTOME_PACKAGING_OF_TELOMERE_ENDS	0.002	0.006	0.002	0.075	0.032	1
REACTOME_PD1_SIGNALING	0.102	0.566	0.041	0.571	0.025	0.429
REACTOME_PECAM1_INTERACTIONS	0.239	0.296	0.001	0.31	0.114	0.587
REACTOME_PEPTIDE_CHAIN_ELONGATION	0.001	0.888	0.001	0.131	0.052	1
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	0.026	0.155	0.017	0.006	0.082	0.588
REACTOME_PEROXISOMAL_LIPID_METABOLISM	0.516	0.004	0.991	0.034	0.998	0.971
REACTOME_PHASE_1_FUNCTIONALIZATION	0.03	0.068	0.013	0.006	1	0.361
REACTOME_PHASE_1_FUNCTIONALIZATION_OF_COMPOUNDS	0.129	0.417	0.111	0.432	0.08	0.112
REACTOME_PHASE_II_CONJUGATION	0.071	0.261	0.089	0.24	0.356	0.065
REACTOME_PHOSPHOLIPASE_CMEDIATED_CASCADE	0.674	0.547	0.057	0.315	0.049	1
REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS	0.037	0.576	0.049	0.395	0.021	0.049
REACTOME_PHOSPHORYLATION_OF_THE_APC	0.03	0.699	0.063	0.195	1	0.987
REACTOME_PI3K_AKT_SIGNALLING	0.015	0.615	0.007	0.564	0.032	0.201
REACTOME_PI3K_CASCADE	0.064	0.016	0.281	0.167	0.063	0.048
REACTOME_PKA_ACTIVATION	0.828	0.392	0.734	0.024	0.804	0.591
REACTOME_PLATELET_ACTIVATION	0.003	0.054	0.001	0.019	0.07	0.051
REACTOME_PLATELET_ACTIVATION_TRIGGERS	0.026	0.296	0.001	0.582	0.029	0.012
REACTOME_PLATELET_ADHESION_TO_EXPOSED_COLLAGEN	0.171	0.028	0.155	0.434	0.067	0.562
REACTOME_PLATELET_AGGREGATION_PLUG_FORMATION	0.004	0.016	0.008	0.069	0.033	0.118
REACTOME_PLATELET_DEGRANULATION	0.002	0.066	0.001	0.031	0.062	0.096
REACTOME_PLC_BETA_MEDIATED_EVENTS	0.322	0.595	0.588	0.089	0.056	0.855
REACTOME_PLC_GAMMA1_SIGNALLING	0.577	0.422	0.579	0.025	0.176	0.105
REACTOME_POLYMERASE_SWITCHING	0.548	0.518	0.505	0.265	0.403	1
REACTOME_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY	0.118	0.443	0.017	0.381	0.028	1
REACTOME_POST_NMDA_RECEPTOR_ACTIVATION_EVENTS	0.001	0.014	0.014	0.013	0.038	0.003
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	0.071	0.202	0.012	0.096	0.039	0.065
REACTOME_PP2A_MEDIATED_DEPHOSPHORYLATION_OF_KEY_METABOLIC_FACTORS	0.657	0.972	0.17	0.184	0.105	0.487
REACTOME_PREFOLDIN_MEDIATED_TRANSFER_OF_SUBSTRATE_TO_CCT_TRIC	0.103	0.893	0.034	0.904	0.352	0.011
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	0.002	0.819	0.001	0.545	0.02	0.63
REACTOME_PROSTANOID_HORMONES	0.795	0.104	0.531	0.116	0.9	1
REACTOME_PROTEOLYTIC_CLEAVAGE_OF_SNARE_COMPLEX_PROTEINS	0.958	0.467	0.973	0.825	0.244	0.087
REACTOME_PURINE_METABOLISM	0.772	0.049	0.09	0.089	0.038	1
REACTOME_PURINE_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHESIS	0.272	0.129	0.175	0.271	0.402	0.996
REACTOME_PURINE_SALVAGE_REACTIONS	0.599	0.585	0.082	0.474	0.826	1
REACTOME_PYRIMIDINE_CATABOLISM	0.468	0.75	0.879	0.238	1	0.64
REACTOME_PYRIMIDINE_METABOLISM	0.262	0.326	0.102	0.018	0.976	1
REACTOME_PYRUVATE_METABOLISM	0.939	0.95	0.091	0.187	0.018	0.019
REACTOME_PYRUVATE_METABOLISM_AND_TCA_CYCLE	0.109	0.709	0.001	0.436	0.008	0.046
REACTOME_RAS_ACTIVATION_UOPN_CA2_INFUX_THROUGH_NMDA_RECEPTOR	0.009	0.062	0.106	0.05	0.056	0.215
REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES	0.953	0.982	0.117	0.016	0.021	0.927
REACTOME_RECYCLING_OF_BILE_ACIDS_AND_SALTS	0.048	0.147	0.002	0.042	0.912	0.636
REACTOME_REGULATED_PROTEOLYSIS_OF_P75NTR	0.55	0.766	0.663	0.483	0.059	0.99
REACTOME_REGULATION_OF_AMPK_ACTIVITY_VIA_LKB1	0.006	0.683	0.061	0.298	0.455	1
REACTOME_REGULATION_OF_APC_ACTIVATORS_BETWEEN_G1_S_AND_EARLY_ANAPHASE	0.002	0.966	0.002	0.562	0.095	0.081
REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT	0.004	0.357	0.002	0.287	0.206	0.009
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS	0.003	0.899	0.001	0.502	0.206	0.223
REACTOME_REGULATION_OF_GLUCOKINASE_BY_GLUCOKINASE_REGULATORY_PROTEIN	0.031	0.566	0.008	0.804	0.042	0.998
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_ACTIVITY_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS	0.914	0.793	0.017	0.287	1	0.923
REACTOME_REGULATION_OF_INSULIN_SECRETION	0.012	0.257	0.001	0.014	0.01	0.051
REACTOME_REGULATION_OF_INSULIN_SECRETION_BY_ACETYLCHOLINE	0.611	0.711	0.061	0.282	0.117	0.014
REACTOME_REGULATION_OF_INSULIN_SECRETION_BY_FREE_FATTY_ACIDS	0.703	0.706	0.066	0.172	0.046	0.058
REACTOME_REGULATION_OF_INSULIN_SECRETION_BY_GLUCAGON_LIKE_PEPTIDE_1	0.104	0.31	0.004	0.205	0.277	0.02
REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PEROXISOME_PROLIFERATOR_ACTIVATED_RECEPTOR_ALPHA	0.623	0.065	0.032	0.128	0.057	0.152
REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE	0.049	0.442	0.002	0.131	0.084	0.064
REACTOME_REGULATION_OF_PYRUVATE_DEHYDROGENASE_COMPLEX	0.938	0.884	0.22	0.113	0.003	0.379
REACTOME_REGULATION_OF_RHEB_GTPASE_ACTIVITY_BY_AMPK	0.011	0.743	0.02	0.653	0.034	1
REACTOME_REMOVAL_OF_DNA_PATCH_CONTAINING_ABASIC_RESIDUE	0.581	0.322	0.492	0.308	0.085	0.366
REACTOME_REMOVAL_OF_THE_FLAP_INTERMEDIATE	0.705	0.957	0.305	0.512	0.119	0.996
REACTOME_REMOVAL_OF_THE_FLAP_INTERMEDIATE_FROM_THE_C_STRAND	0.484	0.897	0.337	0.682	0.155	1
REACTOME_REPAIR_SYNTHESIS_OF_PATCH_27_30_BASES_LONG_BY_DNA_POLYMERASE	0.507	0.99	0.035	0.17	0.919	1
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY	0.118	0.693	0.909	0.554	0.283	0.035
REACTOME_RETROGRADE_NEUROTROPHIN_SIGNALLING	0.004	0.14	0.001	0.217	0.585	0.994
REACTOME_REV_MEDIATED_NUCLEAR_EXPORT_OF_HIV1_RNA	0.049	0.834	0.007	0.739	0.037	0.99
REACTOME_RHO_GTPASE_CYCLE	0.008	0.094	0.001	0.257	0.01	0.008
REACTOME_RNA_POLYMERASE_III_CHAIN_ELONGATION	0.781	0.125	0.061	0.001	0.036	1
REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION	0.01	0.228	0.004	0.33	0.016	0.066
REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_INITIATION	0.01	0.359	0.001	0.078	0.031	0.051
REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_INITIATION_FROM_TYPE_2_PROMOTER	0.234	0.998	0.061	0.006	0.031	0.24
REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_INITIATION_FROM_TYPE_3_PROMOTER	0.078	0.267	0.013	0.017	0.025	1
REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_TERMINATION	0.073	0.08	0.164	0.004	0.03	0.928
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	0.002	0.289	0.001	0.476	0.017	0.345
REACTOME_RNA_POLYMERASE_I_CHAIN_ELONGATION	0.02	0.106	0.004	0.376	0.016	0.053
REACTOME_RNA_POLYMERASE_I_III_AND_MITOCHONDRIAL_TRANSCRIPTION	0.001	0.037	0.001	0.002	0.017	0.216
REACTOME_RNA_POLYMERASE_I_PROMOTER_CLEARANCE	0.001	0.035	0.001	0.006	0.008	0.255
REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE	0.173	0.004	0.001	0.024	0.027	0.001
REACTOME_RNA_POLYMERASE_I_PROMOTER_OPENING	0.003	0.193	0.012	0.212	0.003	0.989
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION_INITIATION	0.057	0.064	0.002	0.066	0.033	0.056
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION_TERMINATION	0.057	0.014	0.001	0.034	0.022	0.002
