Pathway	Utah Expression 24vs35 AUCs	Ontario Expression 24vs35 AUCs	Utah Expression 0124vs35 AUCs	Ontario Expression 0124vs35 AUCs	Lim AUCs	Bellacosa Breast AUCs
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL	0.6241259	0.5993304	0.4953243	0.6214286	0.7333333	0.1527778
REACTOME_AMINE_COMPOUND_SLC_TRANSPORTERS	0.5055361	0.5145089	0.5571644	0.5333333	0.2266667	0.3194444
REACTOME_AMINE_DERIVED_HORMONES	0.4458042	0.5558036	0.4536953	0.4492063	0.32	0
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS	0.5810023	0.4765625	0.5493213	0.5031746	0.6533333	0.5277778
REACTOME_AMINO_ACID_AND_OLIGOPEPTIDE_SLC_TRANSPORTERS	0.6538462	0.6495536	0.6174962	0.5670635	0.84	0.3055556
REACTOME_AMINO_ACID_SYNTHESIS_AND_INTERCONVERSION	0.6684149	0.546875	0.4904977	0.5309524	0.72	0.5277778
REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE	0.6136364	0.625	0.5897436	0.5444444	0.9333333	0.1805556
REACTOME_APCDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B	0.6888112	0.5122768	0.6117647	0.6079365	0.7733333	0.3333333
REACTOME_APOPTOSIS	0.7692308	0.7287946	0.7381599	0.6746032	0.8133333	0.7361111
REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION	0.4224942	0.3376116	0.3815988	0.3777778	0.6933333	0.2777778
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS	0.6719114	0.5770089	0.6033183	0.6047619	0.52	0.875
REACTOME_APOPTOTIC_EXECUTION_PHASE	0.7820513	0.6573661	0.6585219	0.5674603	0.7466667	0.6805556
REACTOME_ASSOCIATION_OF_LICENSING_FACTORS_WITH_THE_PREREPLICATIVE_COMPLEX	0.6555944	0.5814732	0.612368	0.6	0.4266667	0.1666667
REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS	0.5909091	0.4776786	0.6241327	0.5055556	0.7466667	0.75
REACTOME_AUTODEGRADATION_OF_CDH1_BY_CDH1_APC	0.6442308	0.40625	0.6171946	0.5531746	0.7866667	0.75
REACTOME_AXON_GUIDANCE	0.6608392	0.5926339	0.7013575	0.5373016	0.88	0.7638889
REACTOME_A_THIRD_PROTEOLYTIC_CLEAVAGE_RELEASES_NICD	0.5072844	0.3660714	0.5037707	0.55	0.7333333	0
REACTOME_BASE_EXCISION_REPAIR	0.4965035	0.5022321	0.4702866	0.5293651	0.76	0.5555556
REACTOME_BASE_FREE_SUGAR_PHOSPHATE_REMOVAL_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY	0.4682401	0.46875	0.4684766	0.4595238	0.5866667	0.7083333
REACTOME_BASIGIN_INTERACTIONS	0.6497669	0.4665179	0.6153846	0.5373016	0.6133333	0
REACTOME_BETACATENIN_PHOSPHORYLATION_CASCADE	0.6013986	0.4308036	0.5794872	0.5015873	0.76	0.8055556
REACTOME_BILE_SALT_AND_ORGANIC_ANION_SLC_TRANSPORTERS	0.4300699	0.4268973	0.5822021	0.65	0.08	0.875
REACTOME_BIOLOGICAL_OXIDATIONS	0.5483683	0.5424107	0.5689291	0.5373016	0.6133333	0.8472222
REACTOME_BOTULINUM_NEUROTOXICITY	0.4632867	0.4252232	0.4609351	0.4015873	0.52	0.7222222
REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM	0.5477855	0.5	0.5276018	0.5968254	0.68	0.375
REACTOME_CALCITONIN_LIKE_LIGAND_RECEPTORS	0.5352564	0.5301339	0.5719457	0.4468254	0.16	0.5416667
REACTOME_CAM_PATHWAY	0.4571678	0.4732143	0.5263952	0.6404762	0.5466667	0.01388889
REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS	0.451049	0.6277902	0.3924585	0.4365079	0.7466667	0.3611111
REACTOME_CD28_CO_STIMULATION	0.6142191	0.4620536	0.5797888	0.4960317	0.7733333	0.3888889
REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING	0.5687646	0.5814732	0.4769231	0.565873	0.16	0.25
REACTOME_CD28_DEPENDENT_VAV1_PATHWAY	0.5058275	0.5390625	0.4820513	0.5325397	0.6533333	0.125
REACTOME_CDC20_PHOSPHO_APC_MEDIATED_DEGRADATION_OF_CYCLIN_A	0.6777389	0.4866071	0.6470588	0.5285714	0.76	0.8333333
REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC_ORIGIN_COMPLEX	0.5938228	0.6149554	0.481448	0.5603175	0.28	0.2222222
REACTOME_CDT1_ASSOCIATION_WITH_THE_CDC6_ORC_ORIGIN_COMPLEX	0.5984848	0.5011161	0.5794872	0.5198413	0.72	0.75
REACTOME_CELLEXTRACELLULAR_MATRIX_INTERACTIONS	0.6124709	0.6339286	0.5936652	0.5833333	0.24	0.06944444
REACTOME_CELL_CELL_ADHESION_SYSTEMS	0.5699301	0.6171875	0.4959276	0.5626984	0.6	0.6805556
REACTOME_CELL_CYCLE_CHECKPOINTS	0.710373	0.5178571	0.6648567	0.534127	0.84	0.6666667
REACTOME_CELL_CYCLE_MITOTIC	0.8374126	0.4631696	0.7502262	0.4936508	0.8666667	0.6805556
REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE	0.6083916	0.6590402	0.6374057	0.6595238	0.8133333	0.8611111
REACTOME_CELL_JUNCTION_ORGANIZATION	0.6212121	0.5379464	0.6171946	0.5583333	0.5866667	0.6527778
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	0.673951	0.7053571	0.7170437	0.6690476	0.8	0.6111111
REACTOME_CENTROSOME_MATURATION	0.7377622	0.6238839	0.7390649	0.515873	0.8	0.7916667
REACTOME_CHAPERONIN_MEDIATED_PROTEIN_FOLDING	0.7354312	0.4257812	0.6096531	0.4722222	0.7466667	0.8055556
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	0.6462704	0.6629464	0.5565611	0.6079365	0.8666667	0.3611111
REACTOME_CHOLESTEROL_BIOSYNTHESIS	0.6392774	0.6651786	0.4410256	0.6722222	0.2933333	0.1388889
REACTOME_CHYLOMICRON_MEDIATED_LIPID_TRANSPORT	0.3904429	0.4012277	0.4790347	0.6031746	0.3333333	0
REACTOME_CITRIC_ACID_CYCLE	0.4667832	0.5122768	0.5351433	0.5738095	0.01333333	0.1805556
REACTOME_CLASSICAL_ANTIBODY_MEDIATED_COMPLEMENT_ACTIVATION	0.4201632	0.4810268	0.5429864	0.4309524	0.8133333	0.4444444
REACTOME_CLASS_A1_RHODOPSIN_LIKE_RECEPTORS	0.6555944	0.5982143	0.6301659	0.6642857	0.7066667	0.6388889
REACTOME_CLASS_B2_SECRETIN_FAMILY_RECEPTORS	0.6742424	0.5658482	0.7085973	0.5571429	0.6266667	0.6666667
REACTOME_CLASS_C3_METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS	0.5658508	0.4776786	0.5143288	0.4857143	0.05333333	0.1666667
REACTOME_CLATHRIN_DERIVED_VESICLE_BUDDING	0.6194639	0.5513393	0.6506787	0.5329365	0.8133333	0.6944444
REACTOME_COLLAGEN_MEDIATED_ACTIVATION_CASCADE	0.5967366	0.6707589	0.6262443	0.6238095	0.3333333	0.3194444
REACTOME_COMMON_PATHWAY	0.5926573	0.4609375	0.5984917	0.5079365	0.1466667	0.1111111
REACTOME_COMPLEMENT_CASCADE	0.4382284	0.5	0.440724	0.4944444	0.7733333	0.05555556
REACTOME_CONVERSION_FROM_APC_CDC20_TO_APC_CDH1_IN_LATE_ANAPHASE	0.6401515	0.4547991	0.5665158	0.6007937	0.72	0.5694444
REACTOME_COPI_MEDIATED_TRANSPORT	0.6287879	0.4810268	0.4998492	0.3984127	0.8133333	0.8333333
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY	0.6818182	0.3225446	0.659276	0.4539683	0.7733333	0.9166667
REACTOME_CREB_PHOPHORYLATION_THROUGH_THE_ACTIVATION_OF_RAS	0.6733683	0.6383929	0.6262443	0.6333333	0.8	0.9444444
REACTOME_CREB_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_CAMKII	0.6083916	0.4095982	0.5110106	0.6198413	0.4133333	0.7916667
REACTOME_CRMPS_IN_SEMA3A_SIGNALING	0.4268648	0.4425223	0.4684766	0.4896825	0.12	0.125
REACTOME_CTLA4_INHIBITORY_SIGNALING	0.6054779	0.5357143	0.5435897	0.4920635	0.64	0.5138889
REACTOME_CYCLIN_A1_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION	0.5518648	0.5915179	0.5285068	0.6063492	0.1866667	0.5555556
REACTOME_CYCLIN_E_ASSOCIATED_EVENTS_DURING_G1_S_TRANSITION_	0.6707459	0.6049107	0.6042232	0.5563492	0.8	0.8611111
REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE	0.5166084	0.4765625	0.4720965	0.4365079	0.48	0.7083333
REACTOME_CYTOSOLIC_SULFONATION_OF_SMALL_MOLECULES	0.423951	0.3671875	0.3987934	0.4833333	0.28	0.125
REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION	0.4898019	0.3939732	0.6588235	0.5412698	0.8	0.6944444
REACTOME_DARPP32_EVENTS	0.6025641	0.4910714	0.4959276	0.5277778	0.7466667	0.05555556
REACTOME_DEADENYLATION_OF_MRNA	0.6043124	0.5351562	0.6358974	0.5166667	0.8133333	0.04166667
REACTOME_DEATH_RECEPTOR_SIGNALLING	0.6194639	0.5513393	0.4190045	0.6444444	0.6266667	0
REACTOME_DEPOLARIZATION_OF_THE_PRESYNAPTIC_TERMINAL_TRIGGERS_THE_OPENING_OF_CALCIUM_CHANNELS	0.6019814	0.5066964	0.707089	0.5142857	0	0.1111111
REACTOME_DIABETES_PATHWAYS	0.6783217	0.53125	0.6817496	0.6329365	0.7733333	0.7916667
REACTOME_DNA_REPAIR	0.6987179	0.5848214	0.7266968	0.6369048	0.8533333	0.5555556
REACTOME_DNA_REPLICATION_PRE_INITIATION	0.7086247	0.5435268	0.6645551	0.547619	0.7866667	0.6388889
REACTOME_DNA_STRAND_ELONGATION	0.5775058	0.5825893	0.6259427	0.5690476	0.8133333	0.4444444
REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.4411422	0.3571429	0.3903469	0.3920635	0.2266667	0.7916667
REACTOME_DOUBLE_STRAND_BREAK_REPAIR	0.5955711	0.6674107	0.6588235	0.6079365	0.6	0
REACTOME_DOWNSTREAM_EVENTS_IN_GPCR_SIGNALING	0.6917249	0.5234375	0.6622926	0.6896825	0.8	0.8055556
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR	0.5745921	0.6919643	0.573454	0.572619	0.76	0.7638889
REACTOME_DOWNSTREAM_TCR_SIGNALING	0.6509324	0.4252232	0.707089	0.5206349	0.8266667	0.7083333
REACTOME_DOWN_STREAM_SIGNAL_TRANSDUCTION	0.6532634	0.5133929	0.5882353	0.5015873	0.7733333	0.75
REACTOME_DUAL_INCISION_REACTION_IN_GG_NER	0.47669	0.359933	0.573454	0.5738095	0.8266667	0.7083333
REACTOME_DUAL_INCISION_REACTION_IN_TC_NER	0.6011072	0.5948661	0.5659125	0.5833333	0.7866667	0.5277778
REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION	0.5364219	0.6216518	0.4618401	0.6047619	0.6266667	0.1388889
REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION	0.6421911	0.5747768	0.5701357	0.5460317	0.6533333	0.7777778
REACTOME_E2F_TRANSCRIPTIONAL_TARGETS_AT_G1_S	0.6614219	0.5424107	0.6076923	0.5380952	0.68	0
REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE	0.6456876	0.5491071	0.7282051	0.5142857	0.7733333	0.1111111
REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS	0.6270396	0.6674107	0.5556561	0.6357143	0.1333333	0.6944444
REACTOME_EGFR_DOWNREGULATION	0.7301865	0.5948661	0.7108597	0.5333333	0.7466667	0.2916667
REACTOME_EICOSANOID_LIGAND_BINDING_RECEPTORS	0.4574592	0.3934152	0.5282051	0.368254	0.68	0.4166667
REACTOME_ELECTRON_TRANSPORT_CHAIN	0.6520979	0.5636161	0.5819005	0.5797619	0.8	0.6388889
REACTOME_ELONGATION_AND_PROCESSING_OF_CAPPED_TRANSCRIPTS	0.7470862	0.4090402	0.7076923	0.4884921	0.8133333	0.4166667
REACTOME_ENDOGENOUS_STEROLS	0.4726107	0.5479911	0.5378582	0.4801587	0	0.08333333
REACTOME_ENERGY_DEPENDENT_REGULATION_OF_MTOR_BY_LKB1_AMPK	0.701049	0.4575893	0.6340875	0.5071429	0.6533333	0
REACTOME_ERKS_ARE_INACTIVATED	0.3971445	0.5602679	0.5909502	0.5349206	0.7733333	0.7638889
REACTOME_ERK_MAPK_TARGETS	0.6369464	0.5758929	0.6162896	0.5309524	0.7733333	0.7916667
REACTOME_ETHANOL_OXIDATION	0.4621212	0.3309152	0.507994	0.4238095	0.7733333	0.4444444
REACTOME_EXTENSION_OF_TELOMERES	0.6200466	0.5948661	0.6184012	0.5785714	0.6666667	0.1805556
REACTOME_FACILITATIVE_NA_INDEPENDENT_GLUCOSE_TRANSPORTERS	0.6509324	0.3973214	0.5031674	0.5722222	0.1333333	0.9583333
REACTOME_FANCONI_ANEMIA_PATHWAY	0.6590909	0.6595982	0.614178	0.6960317	0.7066667	0.2361111
REACTOME_FGFR_LIGAND_BINDING_AND_ACTIVATION	0.462704	0.4654018	0.4319759	0.5579365	0.7733333	0
REACTOME_FORMATION_AND_MATURATION_OF_MRNA_TRANSCRIPT	0.7296037	0.3973214	0.6914027	0.4444444	0.8	0.6666667
REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING	0.5067016	0.546317	0.6156863	0.5388889	0.8	0.6805556
REACTOME_FORMATION_OF_A_POOL_OF_FREE_40S_SUBUNITS	0.7185315	0.4185268	0.721267	0.568254	0.7866667	0.2638889
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	0.5122378	0.405692	0.5266968	0.5753968	0.8133333	0.3888889
REACTOME_FORMATION_OF_PLATELET_PLUG	0.6684149	0.6283482	0.6932127	0.6480159	0.8	0.7222222
REACTOME_FORMATION_OF_THE_EARLY_ELONGATION_COMPLEX	0.5938228	0.6601562	0.5481146	0.5674603	0.8	0.7083333
REACTOME_FORMATION_OF_THE_TERNARY_COMPLEX_AND_SUBSEQUENTLY_THE_43S_COMPLEX	0.6689977	0.4101562	0.6651584	0.5746032	0.7466667	0
REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC	0.5463287	0.5295759	0.624736	0.4746032	0.3733333	0.375
REACTOME_FRS2MEDIATED_CASCADE	0.4755245	0.6283482	0.3707391	0.4134921	0.7733333	0.01388889
REACTOME_FRS2_MEDIATED_ACTIVATION	0.6171329	0.5658482	0.5674208	0.5515873	0.7466667	0.75
REACTOME_FURTHER_PLATELET_RELEASATE	0.6282051	0.5189732	0.6298643	0.6261905	0.2266667	0.05555556
REACTOME_G1_PHASE	0.6809441	0.6328125	0.6684766	0.5857143	0.7466667	0.8194444
REACTOME_G1_S_TRANSITION	0.6998834	0.6523438	0.6669683	0.5412698	0.8133333	0.75
REACTOME_G2_M_CHECKPOINTS	0.6701632	0.5357143	0.5809955	0.5452381	0.8	0.3611111
REACTOME_G2_M_TRANSITION	0.7007576	0.5770089	0.7191554	0.5801587	0.8266667	0.7222222
REACTOME_GAB1_SIGNALOSOME	0.534965	0.4799107	0.6063348	0.5904762	0.7866667	0.9166667
REACTOME_GAMMA_CARBOXYLATION_TRANSPORT_AND_AMINO_TERMINAL_CLEAVAGE_OF_PROTEINS	0.4428904	0.4720982	0.5230769	0.4468254	0.05333333	0.7638889
REACTOME_GAP_JUNCTION_ASSEMBLY	0.4495921	0.5385045	0.4497738	0.5825397	0.88	0.1388889
REACTOME_GAP_JUNCTION_DEGRADATION	0.5658508	0.6428571	0.5595777	0.5547619	0.1466667	0.02777778
REACTOME_GAP_JUNCTION_TRAFFICKING	0.4271562	0.4129464	0.5269985	0.6507937	0.6933333	0.7361111
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	0.6410256	0.4341518	0.6217195	0.5269841	0.6666667	0.6805556
REACTOME_GENERIC_TRANSCRIPTION_PATHWAY	0.6346154	0.5959821	0.6182504	0.5579365	0.7866667	0.7361111
REACTOME_GENES_INVOLVED_IN_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS	0.7255245	0.6205357	0.6509804	0.5039683	0.72	0.75
REACTOME_GENE_EXPRESSION	0.6777389	0.4938616	0.6832579	0.5626984	0.8133333	0.6527778
REACTOME_GLOBAL_GENOMIC_NER	0.5	0.6026786	0.6481146	0.6007937	0.8266667	0.4166667
REACTOME_GLUCAGON_SIGNALING_IN_METABOLIC_REGULATION	0.6013986	0.6149554	0.6690799	0.5849206	0.7733333	0
REACTOME_GLUCAGON_TYPE_LIGAND_RECEPTORS	0.5879953	0.5379464	0.6506787	0.6095238	0.5333333	0.5555556
REACTOME_GLUCONEOGENESIS	0.6311189	0.5440848	0.6313725	0.5730159	0.72	0.2222222
REACTOME_GLUCOSE_AND_OTHER_SUGAR_SLC_TRANSPORTERS	0.5745921	0.6082589	0.6383107	0.5849206	0.3066667	0.8611111
REACTOME_GLUCOSE_METABOLISM	0.6497669	0.5993304	0.6285068	0.6515873	0.7466667	0.6388889
REACTOME_GLUCOSE_REGULATION_OF_INSULIN_SECRETION	0.6713287	0.6127232	0.6733032	0.6365079	0.8266667	0.6527778
REACTOME_GLUCOSE_TRANSPORT	0.6445221	0.3716518	0.6211161	0.5269841	0.76	0.625
REACTOME_GLUCURONIDATION	0.4428904	0.5379464	0.4524887	0.4555556	0.2133333	0.6805556
REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE	0.5734266	0.375558	0.3803922	0.6992063	0.88	0.4166667
REACTOME_GLUTATHIONE_CONJUGATION	0.6028555	0.578125	0.5266968	0.5746032	0.2133333	0.375
REACTOME_GLYCOGEN_BREAKDOWN_GLYCOGENOLYSIS	0.6118881	0.6138393	0.6579186	0.6515873	0.7066667	0
REACTOME_GLYCOLYSIS	0.6363636	0.6339286	0.6847662	0.6285714	0.56	0.04166667
REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS	0.6724942	0.547433	0.6485671	0.5134921	0.8	0.6805556
REACTOME_GPCR_LIGAND_BINDING	0.6963869	0.5212054	0.6627451	0.6079365	0.7333333	0.7361111
REACTOME_GRB2_EVENTS_IN_EGFR_SIGNALING	0.6282051	0.6350446	0.6491704	0.6349206	0.7866667	0.4444444
REACTOME_GRB2_SOS_PROVIDES_LINKAGE_TO_MAPK_SIGNALING_FOR_INTERGRINS_	0.7039627	0.6763393	0.6606335	0.5730159	0.8	0.7638889
REACTOME_GS_ALPHA_MEDIATED_EVENTS_IN_GLUCAGON_SIGNALLING	0.6491841	0.6160714	0.6437406	0.6063492	0.7866667	0
REACTOME_GTP_HYDROLYSIS_AND_JOINING_OF_THE_60S_RIBOSOMAL_SUBUNIT	0.7121212	0.4609375	0.745098	0.5595238	0.8	0.5277778
REACTOME_G_ALPHA_12_13_SIGNALLING_EVENTS	0.6433566	0.5881696	0.6046757	0.5626984	0.7333333	0.8194444
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	0.6684149	0.6808036	0.6536953	0.6619048	0.7733333	0.6805556
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS	0.6357809	0.5479911	0.6066365	0.6448413	0.8133333	0.8611111
REACTOME_G_ALPHA_S_SIGNALLING_EVENTS	0.7750583	0.5792411	0.6757164	0.5666667	0.5733333	0.7361111
REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS	0.513986	0.5647321	0.5918552	0.6595238	0.04	0
REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PI3KGAMMA	0.6535548	0.515067	0.6669683	0.5611111	0.8	0.4722222
REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PLC_BETA	0.587704	0.4927455	0.625641	0.5626984	0.8	0.2777778
REACTOME_G_PROTEIN_ACTIVATION	0.6812354	0.40625	0.5571644	0.5349206	0.64	0.25
REACTOME_G_PROTEIN_BETA_GAMMA_SIGNALLING	0.6043124	0.5083705	0.6751131	0.552381	0.8	0.3472222
REACTOME_HDL_MEDIATED_LIPID_TRANSPORT	0.4892191	0.6361607	0.5113122	0.6285714	0.7466667	0
REACTOME_HEMOSTASIS	0.6620047	0.6467634	0.6838612	0.6246032	0.7866667	0.7083333
REACTOME_HIV1_TRANSCRIPTION_ELONGATION	0.6127622	0.5870536	0.588537	0.5539683	0.8	0.5416667
REACTOME_HIV1_TRANSCRIPTION_INITIATION	0.6075175	0.6635045	0.6337858	0.5928571	0.8	0.7361111
REACTOME_HIV_INFECTION	0.6596737	0.5167411	0.6702866	0.484127	0.8266667	0.6527778
REACTOME_HIV_LIFE_CYCLE	0.6794872	0.4642857	0.6992459	0.5599206	0.8133333	0.5972222
REACTOME_HOMOLOGOUS_RECOMBINATION_REPAIR	0.5847902	0.6138393	0.6211161	0.65	0.64	0
REACTOME_HORMONE_BIOSYNTHESIS	0.6142191	0.5658482	0.5447964	0.5420635	0.5733333	0.7638889
REACTOME_HORMONE_LIGAND_BINDING_RECEPTORS	0.495338	0.6054688	0.4322775	0.6031746	0.04	0.5694444
REACTOME_HORMONE_SENSITIVE_LIPASE_HSL_MEDIATED_TRIACYLGLYCEROL_HYDROLYSIS	0.6252914	0.4107143	0.427451	0.4706349	0.9066667	0.4861111
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS	0.6888112	0.4341518	0.6907994	0.4690476	0.84	0.5
REACTOME_HUMAN_TAK1_ACTIVATES_NFKB_BY_PHOSPHORYLATION_AND_ACTIVATION_OF_IKKS_COMPLEX	0.6771562	0.4765625	0.5671192	0.4547619	0.8266667	0.5694444
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	0.6934732	0.5033482	0.6609351	0.5873016	0.5066667	0.5972222
REACTOME_INACTIVATION_OF_APC_VIA_DIRECT_INHIBITION_OF_THE_APCOMPLEX	0.7231935	0.4827009	0.6693816	0.465873	0.6933333	0.2916667
REACTOME_INFLUENZA_LIFE_CYCLE	0.7027972	0.4542411	0.7040724	0.5555556	0.8	0.7083333
REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION	0.7261072	0.4715402	0.7168929	0.6230159	0.72	0.7777778
REACTOME_INHIBITION_OF_INSULIN_SECRETION_BY_ADRENALINE_NORADRENALINE	0.5693473	0.53125	0.6527903	0.5650794	0.7866667	0.3611111
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	0.4446387	0.5591518	0.4401207	0.5380952	0.7866667	0.25
REACTOME_INNATE_IMMUNITY_SIGNALING	0.6882284	0.640625	0.6693816	0.5638889	0.8533333	0.875
REACTOME_INORGANIC_CATION_ANION_SLC_TRANSPORTERS	0.5673077	0.6618304	0.6010558	0.6373016	0.88	0.7083333
REACTOME_INSULIN_SYNTHESIS_AND_SECRETION	0.6754079	0.563058	0.6739065	0.6190476	0.8266667	0.8194444
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	0.6829837	0.5736607	0.6935143	0.568254	0.8133333	0.625
REACTOME_INTEGRIN_ALPHAIIBBETA3_SIGNALING	0.6672494	0.6774554	0.6437406	0.5960317	0.7866667	0.3611111
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	0.7537879	0.6808036	0.7402715	0.6277778	0.7733333	0.8611111
REACTOME_INTRINSIC_PATHWAY	0.5550699	0.4916295	0.505279	0.6277778	0.7733333	0.3055556
REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS	0.6013986	0.5825893	0.5574661	0.5230159	0.8133333	0.6111111
REACTOME_IONOTROPIC_ACTIVITY_OF_KAINATE_RECEPTORS	0.534965	0.516183	0.5082956	0.5222222	0.2666667	0.05555556
REACTOME_IRS_RELATED_EVENTS	0.7307692	0.5680804	0.6944193	0.6047619	0.7866667	0.6805556
REACTOME_JNK_PHOSPHORYLATION_AND_ACTIVATION_MEDIATED_BY_ACTIVATED_HUMAN_TAK1	0.4819347	0.4910714	0.4102564	0.4825397	0	0.6388889
REACTOME_LAGGING_STRAND_SYNTHESIS	0.4382284	0.3738839	0.5200603	0.5468254	0.7066667	0.1944444
REACTOME_LATE_PHASE_OF_HIV_LIFE_CYCLE	0.6940559	0.5970982	0.6748115	0.4936508	0.8	0.4166667
REACTOME_LIPOPROTEIN_METABOLISM	0.5005828	0.593192	0.4693816	0.6190476	0.6933333	0
REACTOME_LOSS_OF_NLP_FROM_MITOTIC_CENTROSOMES	0.7162005	0.6071429	0.8422323	0.5587302	0.8266667	0.8194444
REACTOME_LYSOSOME_VESICLE_BIOGENESIS	0.4213287	0.5993304	0.5927602	0.6365079	0.8	0.6111111
REACTOME_MAPK_TARGETS_NUCLEAR_EVENTS_MEDIATED_BY_MAP_KINASES	0.5961538	0.5552455	0.6307692	0.5015873	0.7866667	0.7777778
REACTOME_MAP_KINASES_ACTIVATION_IN_TLR_CASCADE	0.6223776	0.4827009	0.6742081	0.4928571	0.8	0.8472222
REACTOME_MEMBRANE_TRAFFICKING	0.6072261	0.5334821	0.7028658	0.5261905	0.8133333	0.7361111
REACTOME_METABLISM_OF_NUCLEOTIDES	0.6290793	0.6065848	0.6778281	0.6452381	0.6666667	0.4027778
REACTOME_METABOLISM_OF_AMINO_ACIDS	0.7447552	0.7053571	0.7577677	0.5706349	0.7333333	0.6111111
REACTOME_METABOLISM_OF_BILE_ACIDS_AND_BILE_SALTS	0.4854312	0.6216518	0.5674208	0.6214286	0	0.4166667
REACTOME_METABOLISM_OF_CARBOHYDRATES	0.6707459	0.65625	0.7366516	0.5611111	0.68	0.7361111
REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS	0.6812354	0.5837054	0.640724	0.5956349	0.72	0.8333333
REACTOME_METABOLISM_OF_MRNA	0.7960373	0.4040179	0.6310709	0.5611111	0.8	0.6805556
REACTOME_METABOLISM_OF_NITRIC_OXIDE	0.5641026	0.4642857	0.6232278	0.5904762	0.7333333	0.06944444
REACTOME_METABOLISM_OF_PROTEINS	0.7051282	0.4207589	0.692006	0.5142857	0.72	0.7777778
REACTOME_METABOLISM_OF_RNA	0.7179487	0.3169643	0.6547511	0.402381	0.8	0.75
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	0.6486014	0.6054688	0.6467572	0.6190476	0.52	0.4305556
REACTOME_METAL_ION_SLC_TRANSPORTERS	0.3977273	0.686942	0.5613876	0.647619	0	0.4305556
REACTOME_MICRORNA_BIOGENESIS	0.5777972	0.6702009	0.5659125	0.5936508	0.8	0.625
REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION	0.5897436	0.6110491	0.59819	0.6785714	0.68	0.4027778
REACTOME_MITOCHONDRIAL_TRNA_AMINOACYLATION	0.5777972	0.5770089	0.4642534	0.6119048	0.8266667	0.5416667
REACTOME_MITOTIC_M_M_G1_PHASES	0.747669	0.5200893	0.692006	0.5285714	0.84	0.7222222
REACTOME_MITOTIC_PROMETAPHASE	0.7552448	0.3805804	0.6639517	0.4301587	0.8666667	0.7638889
