	AUC	Accuracy	Baseline error rate	Baseline improvement	Best Num Features	Error rate	Kappa statistic	Mean absolute error	Number instances predicted as dependent variable class BRCA	Number instances predicted as dependent variable class BRCA correctly	Number instances predicted as dependent variable class BRCA incorrectly	Number instances predicted as dependent variable class Control	Number instances predicted as dependent variable class Control correctly	Number instances predicted as dependent variable class Control incorrectly	Number instances with dependent variable class BRCA	Number instances with dependent variable class BRCA predicted correctly	Number instances with dependent variable class BRCA predicted incorrectly	Number instances with dependent variable class Control	Number instances with dependent variable class Control predicted correctly	Number instances with dependent variable class Control predicted incorrectly	Proportion instances predicted as dependent variable class BRCA	Proportion instances predicted as dependent variable class BRCA correctly	Proportion instances predicted as dependent variable class BRCA incorrectly	Proportion instances predicted as dependent variable class Control	Proportion instances predicted as dependent variable class Control correctly	Proportion instances predicted as dependent variable class Control incorrectly	Proportion instances with dependent variable class BRCA	Proportion instances with dependent variable class BRCA predicted correctly	Proportion instances with dependent variable class BRCA predicted incorrectly	Proportion instances with dependent variable class Control	Proportion instances with dependent variable class Control predicted correctly	Proportion instances with dependent variable class Control predicted incorrectly	Relative absolute error	Root mean squared error	Root relative squared error	Total number correct	Total number incorrect	Youden Index
Visvader_KEGG_RETINOL_METABOLISM_weka_svm_weights_r_svm_rbf	0.7066666666666667	0.8	0.25	0.050000000000000044	25	0.19999999999999996	0.3846153846153847	0.30188299999443036	17.0	14.0	3.0	3.0	2.0	1.0	15.0	14.0	1.0	5.0	2.0	3.0	0.85	0.8235294117647058	0.17647058823529413	0.15	0.6666666666666666	0.3333333333333333	0.75	0.9333333333333333	0.06666666666666667	0.25	0.4	0.6	78.13442352797021	0.41731995482043815	96.2434397539431	16	4	0.3333333333333335
Visvader_KEGG_RHEUMATOID_ARTHRITIS_weka_svm_weights_r_svm_rbf	0.7066666666666667	0.75	0.25	0.0	50	0.25	0.37500000000000006	0.3343406910338176	14.0	12.0	2.0	6.0	3.0	3.0	15.0	12.0	3.0	5.0	3.0	2.0	0.7	0.8571428571428571	0.14285714285714285	0.3	0.5	0.5	0.75	0.8	0.2	0.25	0.6	0.4	86.53523767934102	0.43115584197309204	99.43430890898209	15	5	0.3999999999999999
Visvader_KEGG_RIBOFLAVIN_METABOLISM_weka_svm_weights_r_svm_rbf	0.24	0.75	0.25	0.0	NA	0.25	0.0	0.4049277231570435	20.0	15.0	5.0	0.0	0.0	0.0	15.0	15.0	0.0	5.0	0.0	5.0	1.0	0.75	0.25	0.0	NaN	NaN	0.75	1.0	0.0	0.25	0.0	1.0	104.80482246417597	0.4618100991027385	106.50387535357838	15	5	0.0
Visvader_KEGG_RIBOSOME_BIOGENESIS_IN_EUKARYOTES_weka_svm_weights_r_svm_rbf	0.8533333333333333	0.95	0.25	0.19999999999999996	25	0.050000000000000044	0.857142857142857	0.24388147718554895	16.0	15.0	1.0	4.0	4.0	0.0	15.0	15.0	0.0	5.0	4.0	1.0	0.8	0.9375	0.0625	0.2	1.0	0.0	0.75	1.0	0.0	0.25	0.8	0.2	63.12226468331855	0.3141385941357719	72.44747946956754	19	1	0.8
Visvader_KEGG_RIBOSOME_weka_svm_weights_r_svm_rbf	0.7466666666666667	0.85	0.25	0.09999999999999998	25	0.15000000000000002	0.5	0.30392827685608487	18.0	15.0	3.0	2.0	2.0	0.0	15.0	15.0	0.0	5.0	2.0	3.0	0.9	0.8333333333333334	0.16666666666666666	0.1	1.0	0.0	0.75	1.0	0.0	0.25	0.4	0.6	78.66378930392786	0.38471865110642783	88.72484023897523	17	3	0.3999999999999999
Visvader_KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY_weka_svm_weights_r_svm_rbf	0.7466666666666667	0.85	0.25	0.09999999999999998	25	0.15000000000000002	0.5714285714285713	0.2833309667279295	16.0	14.0	2.0	4.0	3.0	1.0	15.0	14.0	1.0	5.0	3.0	2.0	0.8	0.875	0.125	0.2	0.75	0.25	0.75	0.9333333333333333	0.06666666666666667	0.25	0.6	0.4	73.33272080017	0.366780491980267	84.5878941926302	17	3	0.5333333333333332
Visvader_KEGG_RNA_DEGRADATION_weka_svm_weights_r_svm_rbf	0.8133333333333332	0.9	0.25	0.15000000000000002	25	0.09999999999999998	0.6923076923076923	0.21894001768143978	17.0	15.0	2.0	3.0	3.0	0.0	15.0	15.0	0.0	5.0	3.0	2.0	0.85	0.8823529411764706	0.11764705882352941	0.15	1.0	0.0	0.75	1.0	0.0	0.25	0.6	0.4	56.66682810578442	0.3053226011541628	70.41431168164866	18	2	0.6000000000000001
Visvader_KEGG_RNA_POLYMERASE_weka_svm_weights_r_svm_rbf	0.7866666666666666	0.85	0.25	0.09999999999999998	NA	0.15000000000000002	0.5	0.2955600393412651	18.0	15.0	3.0	2.0	2.0	0.0	15.0	15.0	0.0	5.0	2.0	3.0	0.9	0.8333333333333334	0.16666666666666666	0.1	1.0	0.0	0.75	1.0	0.0	0.25	0.4	0.6	76.49789253538627	0.3735347664611601	86.14558296733337	17	3	0.3999999999999999
Visvader_KEGG_RNA_TRANSPORT_weka_svm_weights_r_svm_rbf	0.8933333333333333	0.95	0.25	0.19999999999999996	25	0.050000000000000044	0.857142857142857	0.22876685324985768	16.0	15.0	1.0	4.0	4.0	0.0	15.0	15.0	0.0	5.0	4.0	1.0	0.8	0.9375	0.0625	0.2	1.0	0.0	0.75	1.0	0.0	0.25	0.8	0.2	59.2102443705514	0.2983941151850867	68.81644578942758	19	1	0.8
Visvader_KEGG_SALIVARY_SECRETION_weka_svm_weights_r_svm_rbf	0.8266666666666665	0.9	0.25	0.15000000000000002	25	0.09999999999999998	0.7333333333333334	0.2231986375029647	15.0	14.0	1.0	5.0	4.0	1.0	15.0	14.0	1.0	5.0	4.0	1.0	0.75	0.9333333333333333	0.06666666666666667	0.25	0.8	0.2	0.75	0.9333333333333333	0.06666666666666667	0.25	0.8	0.2	57.7690591184144	0.3186839184107202	73.49573426295825	18	2	0.7333333333333334
Visvader_KEGG_SELENOCOMPOUND_METABOLISM_weka_svm_weights_r_svm_rbf	0.13333333333333333	0.7	0.25	-0.050000000000000044	NA	0.30000000000000004	-0.09090909090909098	0.4220141359271327	19.0	14.0	5.0	1.0	0.0	1.0	15.0	14.0	1.0	5.0	0.0	5.0	0.95	0.7368421052631579	0.2631578947368421	0.05	0.0	1.0	0.75	0.9333333333333333	0.06666666666666667	0.25	0.0	1.0	109.2271881223167	0.4957484314811299	114.33082398107554	14	6	-0.06666666666666665
Visvader_KEGG_SHIGELLOSIS_weka_svm_weights_r_svm_rbf	0.8	0.95	0.25	0.19999999999999996	25	0.050000000000000044	0.857142857142857	0.24244205362003965	16.0	15.0	1.0	4.0	4.0	0.0	15.0	15.0	0.0	5.0	4.0	1.0	0.8	0.9375	0.0625	0.2	1.0	0.0	0.75	1.0	0.0	0.25	0.8	0.2	62.74970799577497	0.32002670098624225	73.80541035780377	19	1	0.8
Visvader_KEGG_SMALL_CELL_LUNG_CANCER_weka_svm_weights_r_svm_rbf	0.8266666666666665	0.85	0.25	0.09999999999999998	25	0.15000000000000002	0.5714285714285713	0.23287362087497127	16.0	14.0	2.0	4.0	3.0	1.0	15.0	14.0	1.0	5.0	3.0	2.0	0.8	0.875	0.125	0.2	0.75	0.25	0.75	0.9333333333333333	0.06666666666666667	0.25	0.6	0.4	60.27317246175727	0.3327192698593371	76.73260440532084	17	3	0.5333333333333332
Visvader_KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT_weka_svm_weights_r_svm_rbf	0.76	0.85	0.25	0.09999999999999998	NA	0.15000000000000002	0.5	0.3030512430981026	18.0	15.0	3.0	2.0	2.0	0.0	15.0	15.0	0.0	5.0	2.0	3.0	0.9	0.8333333333333334	0.16666666666666666	0.1	1.0	0.0	0.75	1.0	0.0	0.25	0.4	0.6	78.43679233127362	0.37743877651109736	87.04593616564038	17	3	0.3999999999999999
Visvader_KEGG_SPHINGOLIPID_METABOLISM_weka_svm_weights_r_svm_rbf	0.6533333333333333	0.65	0.25	-0.09999999999999998	NA	0.35	-0.1666666666666664	0.363817105530832	18.0	13.0	5.0	2.0	0.0	2.0	15.0	13.0	2.0	5.0	0.0	5.0	0.9	0.7222222222222222	0.2777777777777778	0.1	0.0	1.0	0.75	0.8666666666666667	0.13333333333333333	0.25	0.0	1.0	94.1644273138624	0.44124467784384097	101.76102311494819	13	7	-0.1333333333333333
Visvader_KEGG_SPLICEOSOME_weka_svm_weights_r_svm_rbf	0.7866666666666666	0.85	0.25	0.09999999999999998	25	0.15000000000000002	0.5714285714285713	0.2443780867028856	16.0	14.0	2.0	4.0	3.0	1.0	15.0	14.0	1.0	5.0	3.0	2.0	0.8	0.875	0.125	0.2	0.75	0.25	0.75	0.9333333333333333	0.06666666666666667	0.25	0.6	0.4	63.2507989113351	0.33170383222917305	76.49842147384652	17	3	0.5333333333333332
Visvader_KEGG_STAPHYLOCOCCUS_AUREUS_INFECTION_weka_svm_weights_r_svm_rbf	0.6933333333333334	0.85	0.25	0.09999999999999998	25	0.15000000000000002	0.5714285714285713	0.33070987157389214	16.0	14.0	2.0	4.0	3.0	1.0	15.0	14.0	1.0	5.0	3.0	2.0	0.8	0.875	0.125	0.2	0.75	0.25	0.75	0.9333333333333333	0.06666666666666667	0.25	0.6	0.4	85.59549617206619	0.4080272606274983	94.1003338626975	17	3	0.5333333333333332
Visvader_KEGG_STARCH_AND_SUCROSE_METABOLISM_weka_svm_weights_r_svm_rbf	0.64	0.7	0.25	-0.050000000000000044	25	0.30000000000000004	0.07692307692307666	0.32873579179542184	17.0	13.0	4.0	3.0	1.0	2.0	15.0	13.0	2.0	5.0	1.0	4.0	0.85	0.7647058823529411	0.23529411764705882	0.15	0.3333333333333333	0.6666666666666666	0.75	0.8666666666666667	0.13333333333333333	0.25	0.2	0.8	85.08455787646213	0.45191211008033666	104.22117475620914	14	6	0.06666666666666665
Visvader_KEGG_STEROID_BIOSYNTHESIS_weka_svm_weights_r_svm_rbf	0.14666666666666667	0.75	0.25	0.0	NA	0.25	0.0	0.4195247300594544	20.0	15.0	5.0	0.0	0.0	0.0	15.0	15.0	0.0	5.0	0.0	5.0	1.0	0.75	0.25	0.0	NaN	NaN	0.75	1.0	0.0	0.25	0.0	1.0	108.58287130950585	0.5082949986909387	117.22434673604565	15	5	0.0
Visvader_KEGG_STEROID_HORMONE_BIOSYNTHESIS_weka_svm_weights_r_svm_rbf	0.25333333333333335	0.6	0.25	-0.15000000000000002	25	0.4	-0.230769230769231	0.4725451490635023	17.0	12.0	5.0	3.0	0.0	3.0	15.0	12.0	3.0	5.0	0.0	5.0	0.85	0.7058823529411765	0.29411764705882354	0.15	0.0	1.0	0.75	0.8	0.2	0.25	0.0	1.0	122.30580328702413	0.5758862246706501	132.81241533984038	12	8	-0.19999999999999996
Visvader_KEGG_SULFUR_METABOLISM_weka_svm_weights_r_svm_rbf	0.08	0.75	0.25	0.0	NA	0.25	0.0	0.4345232396181905	20.0	15.0	5.0	0.0	0.0	0.0	15.0	15.0	0.0	5.0	0.0	5.0	1.0	0.75	0.25	0.0	NaN	NaN	0.75	1.0	0.0	0.25	0.0	1.0	112.464838489414	0.4984320588302181	114.94972926971705	15	5	0.0
Visvader_KEGG_SULFUR_RELAY_SYSTEM_weka_svm_weights_r_svm_rbf	0.6133333333333333	0.65	0.25	-0.09999999999999998	NA	0.35	-0.1666666666666664	0.3557299612911993	18.0	13.0	5.0	2.0	0.0	2.0	15.0	13.0	2.0	5.0	0.0	5.0	0.9	0.7222222222222222	0.2777777777777778	0.1	0.0	1.0	0.75	0.8666666666666667	0.13333333333333333	0.25	0.0	1.0	92.07128409889866	0.44124792889783393	101.76177288168111	13	7	-0.1333333333333333
Visvader_KEGG_SYNTHESIS_AND_DEGRADATION_OF_KETONE_BODIES_weka_svm_weights_r_svm_rbf	0.21333333333333332	0.75	0.25	0.0	NA	0.25	0.0	0.40084178582934554	20.0	15.0	5.0	0.0	0.0	0.0	15.0	15.0	0.0	5.0	0.0	5.0	1.0	0.75	0.25	0.0	NaN	NaN	0.75	1.0	0.0	0.25	0.0	1.0	103.7472857440659	0.48383371097603795	111.58301939643667	15	5	0.0
Visvader_KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS_weka_svm_weights_r_svm_rbf	0.8133333333333332	0.85	0.25	0.09999999999999998	25	0.15000000000000002	0.625	0.26485641153358996	14.0	13.0	1.0	6.0	4.0	2.0	15.0	13.0	2.0	5.0	4.0	1.0	0.7	0.9285714285714286	0.07142857142857142	0.3	0.6666666666666666	0.3333333333333333	0.75	0.8666666666666667	0.13333333333333333	0.25	0.8	0.2	68.55107122045858	0.3691822394382987	85.14179158984601	17	3	0.6666666666666667
Visvader_KEGG_TASTE_TRANSDUCTION_weka_svm_weights_r_svm_rbf	0.52	0.65	0.25	-0.09999999999999998	25	0.35	0.0	0.3925066987765398	16.0	12.0	4.0	4.0	1.0	3.0	15.0	12.0	3.0	5.0	1.0	4.0	0.8	0.75	0.25	0.2	0.25	0.75	0.75	0.8	0.2	0.25	0.2	0.8	101.58996909510444	0.5074528189668731	117.03012100444847	13	7	0.0
Visvader_KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM_weka_svm_weights_r_svm_rbf	0.22666666666666666	0.7	0.25	-0.050000000000000044	NA	0.30000000000000004	-0.09090909090909098	0.40435859167920585	19.0	14.0	5.0	1.0	0.0	1.0	15.0	14.0	1.0	5.0	0.0	5.0	0.95	0.7368421052631579	0.2631578947368421	0.05	0.0	1.0	0.75	0.9333333333333333	0.06666666666666667	0.25	0.0	1.0	104.65751784638269	0.4772558748736748	110.06602131063583	14	6	-0.06666666666666665
Visvader_KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS_weka_svm_weights_r_svm_rbf	0.05333333333333333	0.75	0.25	0.0	NA	0.25	0.0	0.43909185390954414	20.0	15.0	5.0	0.0	0.0	0.0	15.0	15.0	0.0	5.0	0.0	5.0	1.0	0.75	0.25	0.0	NaN	NaN	0.75	1.0	0.0	0.25	0.0	1.0	113.64730336482319	0.511753398252299	118.0219320563356	15	5	0.0
Visvader_KEGG_TGF_BETA_SIGNALING_PATHWAY_weka_svm_weights_r_svm_rbf	0.76	0.85	0.25	0.09999999999999998	25	0.15000000000000002	0.5714285714285713	0.31716415045550916	16.0	14.0	2.0	4.0	3.0	1.0	15.0	14.0	1.0	5.0	3.0	2.0	0.8	0.875	0.125	0.2	0.75	0.25	0.75	0.9333333333333333	0.06666666666666667	0.25	0.6	0.4	82.08954482377885	0.3921541880081858	90.43964356811506	17	3	0.5333333333333332
Visvader_KEGG_THIAMINE_METABOLISM_weka_svm_weights_r_svm_rbf	0.7066666666666667	0.75	0.25	0.0	NA	0.25	0.0	0.3486485122664334	20.0	15.0	5.0	0.0	0.0	0.0	15.0	15.0	0.0	5.0	0.0	5.0	1.0	0.75	0.25	0.0	NaN	NaN	0.75	1.0	0.0	0.25	0.0	1.0	90.23843846895923	0.4101952427628566	94.60031967842914	15	5	0.0
Visvader_KEGG_THYROID_CANCER_weka_svm_weights_r_svm_rbf	0.6933333333333334	0.75	0.25	0.0	NA	0.25	0.1666666666666668	0.3508658767096572	18.0	14.0	4.0	2.0	1.0	1.0	15.0	14.0	1.0	5.0	1.0	4.0	0.9	0.7777777777777778	0.2222222222222222	0.1	0.5	0.5	0.75	0.9333333333333333	0.06666666666666667	0.25	0.2	0.8	90.81234456014657	0.4364885174115963	100.66414472527762	15	5	0.1333333333333333
Visvader_KEGG_TIGHT_JUNCTION_weka_svm_weights_r_svm_rbf	0.7333333333333333	0.85	0.25	0.09999999999999998	25	0.15000000000000002	0.5	0.30007800247852046	18.0	15.0	3.0	2.0	2.0	0.0	15.0	15.0	0.0	5.0	2.0	3.0	0.9	0.8333333333333334	0.16666666666666666	0.1	1.0	0.0	0.75	1.0	0.0	0.25	0.4	0.6	77.66724770032295	0.38550721258576365	88.90670038812961	17	3	0.3999999999999999
Visvader_KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY_weka_svm_weights_r_svm_rbf	0.7066666666666667	0.8	0.25	0.050000000000000044	25	0.19999999999999996	0.3846153846153847	0.29412563541812553	17.0	14.0	3.0	3.0	2.0	1.0	15.0	14.0	1.0	5.0	2.0	3.0	0.85	0.8235294117647058	0.17647058823529413	0.15	0.6666666666666666	0.3333333333333333	0.75	0.9333333333333333	0.06666666666666667	0.25	0.4	0.6	76.1266350493972	0.39437435230730944	90.95166377347164	16	4	0.3333333333333335
Visvader_KEGG_TOXOPLASMOSIS_weka_svm_weights_r_svm_rbf	0.7333333333333333	0.8	0.25	0.050000000000000044	25	0.19999999999999996	0.3846153846153847	0.29760560942949976	17.0	14.0	3.0	3.0	2.0	1.0	15.0	14.0	1.0	5.0	2.0	3.0	0.85	0.8235294117647058	0.17647058823529413	0.15	0.6666666666666666	0.3333333333333333	0.75	0.9333333333333333	0.06666666666666667	0.25	0.4	0.6	77.02733420528229	0.41021124421394695	94.60400997570872	16	4	0.3333333333333335
Visvader_KEGG_TRYPTOPHAN_METABOLISM_weka_svm_weights_r_svm_rbf	0.8266666666666665	0.9	0.25	0.15000000000000002	NA	0.09999999999999998	0.7333333333333334	0.21275142205775915	15.0	14.0	1.0	5.0	4.0	1.0	15.0	14.0	1.0	5.0	4.0	1.0	0.75	0.9333333333333333	0.06666666666666667	0.25	0.8	0.2	0.75	0.9333333333333333	0.06666666666666667	0.25	0.8	0.2	55.06507394436119	0.32101199688012994	74.03264192175808	18	2	0.7333333333333334
Visvader_KEGG_TUBERCULOSIS_weka_svm_weights_r_svm_rbf	0.6533333333333333	0.75	0.25	0.0	25	0.25	0.28571428571428564	0.32269967510801256	16.0	13.0	3.0	4.0	2.0	2.0	15.0	13.0	2.0	5.0	2.0	3.0	0.8	0.8125	0.1875	0.2	0.5	0.5	0.75	0.8666666666666667	0.13333333333333333	0.25	0.4	0.6	83.5222688514856	0.42341724104427053	97.64961214653442	15	5	0.2666666666666666
Visvader_KEGG_TYPE_II_DIABETES_MELLITUS_weka_svm_weights_r_svm_rbf	0.68	0.85	0.25	0.09999999999999998	NA	0.15000000000000002	0.5714285714285713	0.29245690816235037	16.0	14.0	2.0	4.0	3.0	1.0	15.0	14.0	1.0	5.0	3.0	2.0	0.8	0.875	0.125	0.2	0.75	0.25	0.75	0.9333333333333333	0.06666666666666667	0.25	0.6	0.4	75.69472917143186	0.3888934619798313	89.68764624462479	17	3	0.5333333333333332
Visvader_KEGG_TYPE_I_DIABETES_MELLITUS_weka_svm_weights_r_svm_rbf	0.21333333333333332	0.55	0.25	-0.19999999999999996	NA	0.44999999999999996	-0.28571428571428564	0.48150025117145107	16.0	11.0	5.0	4.0	0.0	4.0	15.0	11.0	4.0	5.0	0.0	5.0	0.8	0.6875	0.3125	0.2	0.0	1.0	0.75	0.7333333333333333	0.26666666666666666	0.25	0.0	1.0	124.62359442084616	0.5534145986574801	127.62994908250015	11	9	-0.2666666666666667
Visvader_KEGG_TYROSINE_METABOLISM_weka_svm_weights_r_svm_rbf	0.5733333333333334	0.6	0.25	-0.15000000000000002	NA	0.4	-0.230769230769231	0.3922675996686325	17.0	12.0	5.0	3.0	0.0	3.0	15.0	12.0	3.0	5.0	0.0	5.0	0.85	0.7058823529411765	0.29411764705882354	0.15	0.0	1.0	0.75	0.8	0.2	0.25	0.0	1.0	101.52808462011664	0.47949125174551294	110.58154988003932	12	8	-0.19999999999999996
Visvader_KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY_weka_svm_weights_r_svm_rbf	0.8133333333333332	0.85	0.25	0.09999999999999998	25	0.15000000000000002	0.5714285714285713	0.2596261827000377	16.0	14.0	2.0	4.0	3.0	1.0	15.0	14.0	1.0	5.0	3.0	2.0	0.8	0.875	0.125	0.2	0.75	0.25	0.75	0.9333333333333333	0.06666666666666667	0.25	0.6	0.4	67.19736493412739	0.34718929848379243	80.06972095598954	17	3	0.5333333333333332
Visvader_KEGG_UBIQUINONE_AND_OTHER_TERPENOID_QUINONE_BIOSYNTHESIS_weka_svm_weights_r_svm_rbf	0.25333333333333335	0.75	0.25	0.0	NA	0.25	0.0	0.3890747554031612	20.0	15.0	5.0	0.0	0.0	0.0	15.0	15.0	0.0	5.0	0.0	5.0	1.0	0.75	0.25	0.0	NaN	NaN	0.75	1.0	0.0	0.25	0.0	1.0	100.70170139846526	0.4781136050812345	110.26383333616413	15	5	0.0
Visvader_KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS_weka_svm_weights_r_svm_rbf	0.76	0.8	0.25	0.050000000000000044	25	0.19999999999999996	0.4666666666666668	0.2901129853206111	15.0	13.0	2.0	5.0	3.0	2.0	15.0	13.0	2.0	5.0	3.0	2.0	0.75	0.8666666666666667	0.13333333333333333	0.25	0.6	0.4	0.75	0.8666666666666667	0.13333333333333333	0.25	0.6	0.4	75.08806678886404	0.37953227933226497	87.52874536351459	16	4	0.4666666666666668
Visvader_KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS_weka_svm_weights_r_svm_rbf	0.7866666666666666	0.85	0.25	0.09999999999999998	NA	0.15000000000000002	0.5	0.268220831273693	18.0	15.0	3.0	2.0	2.0	0.0	15.0	15.0	0.0	5.0	2.0	3.0	0.9	0.8333333333333334	0.16666666666666666	0.1	1.0	0.0	0.75	1.0	0.0	0.25	0.4	0.6	69.42186221201466	0.3576940768461898	82.49236092748319	17	3	0.3999999999999999
Visvader_KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION_weka_svm_weights_r_svm_rbf	0.6933333333333334	0.8	0.25	0.050000000000000044	NA	0.19999999999999996	0.4666666666666668	0.30511768344582596	15.0	13.0	2.0	5.0	3.0	2.0	15.0	13.0	2.0	5.0	3.0	2.0	0.75	0.8666666666666667	0.13333333333333333	0.25	0.6	0.4	0.75	0.8666666666666667	0.13333333333333333	0.25	0.6	0.4	78.97163571539025	0.3914980581230455	90.28832514602227	16	4	0.4666666666666668
Visvader_KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION_weka_svm_weights_r_svm_rbf	0.72	0.9	0.25	0.15000000000000002	25	0.09999999999999998	0.6923076923076923	0.25754667146334065	17.0	15.0	2.0	3.0	3.0	0.0	15.0	15.0	0.0	5.0	3.0	2.0	0.85	0.8823529411764706	0.11764705882352941	0.15	1.0	0.0	0.75	1.0	0.0	0.25	0.6	0.4	66.65913849639405	0.35699916969381024	82.33209958871397	18	2	0.6000000000000001
Visvader_KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION_weka_svm_weights_r_svm_rbf	0.64	0.65	0.25	-0.09999999999999998	NA	0.35	-0.1666666666666664	0.37096929288594854	18.0	13.0	5.0	2.0	0.0	2.0	15.0	13.0	2.0	5.0	0.0	5.0	0.9	0.7222222222222222	0.2777777777777778	0.1	0.0	1.0	0.75	0.8666666666666667	0.13333333333333333	0.25	0.0	1.0	96.01558168812787	0.460751860965681	106.25982165518036	13	7	-0.1333333333333333
Visvader_KEGG_VEGF_SIGNALING_PATHWAY_weka_svm_weights_r_svm_rbf	0.6533333333333333	0.8	0.25	0.050000000000000044	25	0.19999999999999996	0.3846153846153847	0.3031592064083769	17.0	14.0	3.0	3.0	2.0	1.0	15.0	14.0	1.0	5.0	2.0	3.0	0.85	0.8235294117647058	0.17647058823529413	0.15	0.6666666666666666	0.3333333333333333	0.75	0.9333333333333333	0.06666666666666667	0.25	0.4	0.6	78.46473577628578	0.39703463893692736	91.5651861632074	16	4	0.3333333333333335
Visvader_KEGG_VIBRIO_CHOLERAE_INFECTION_weka_svm_weights_r_svm_rbf	0.5866666666666667	0.75	0.25	0.0	25	0.25	0.1666666666666668	0.36364594731570143	18.0	14.0	4.0	2.0	1.0	1.0	15.0	14.0	1.0	5.0	1.0	4.0	0.9	0.7777777777777778	0.2222222222222222	0.1	0.5	0.5	0.75	0.9333333333333333	0.06666666666666667	0.25	0.2	0.8	94.1201275405345	0.4413383767466454	101.78263220553421	15	5	0.1333333333333333
Visvader_KEGG_VIRAL_MYOCARDITIS_weka_svm_weights_r_svm_rbf	0.6533333333333333	0.75	0.25	0.0	25	0.25	0.1666666666666668	0.33864668104360823	18.0	14.0	4.0	2.0	1.0	1.0	15.0	14.0	1.0	5.0	1.0	4.0	0.9	0.7777777777777778	0.2222222222222222	0.1	0.5	0.5	0.75	0.9333333333333333	0.06666666666666667	0.25	0.2	0.8	87.64972921128684	0.41525917719196753	95.76817772719117	15	5	0.1333333333333333
Visvader_KEGG_VITAMIN_B6_METABOLISM_weka_svm_weights_r_svm_rbf	0.05333333333333333	0.75	0.25	0.0	NA	0.25	0.0	0.43338713116095784	20.0	15.0	5.0	0.0	0.0	0.0	15.0	15.0	0.0	5.0	0.0	5.0	1.0	0.75	0.25	0.0	NaN	NaN	0.75	1.0	0.0	0.25	0.0	1.0	112.1707868887185	0.4951298097008972	114.1881557780611	15	5	0.0
Visvader_KEGG_VITAMIN_DIGESTION_AND_ABSORPTION_weka_svm_weights_r_svm_rbf	0.4133333333333333	0.65	0.25	-0.09999999999999998	NA	0.35	-0.1666666666666664	0.4277130970797697	18.0	13.0	5.0	2.0	0.0	2.0	15.0	13.0	2.0	5.0	0.0	5.0	0.9	0.7222222222222222	0.2777777777777778	0.1	0.0	1.0	0.75	0.8666666666666667	0.13333333333333333	0.25	0.0	1.0	110.70221336182274	0.5038444582295035	116.19795123823889	13	7	-0.1333333333333333
Visvader_KEGG_WNT_SIGNALING_PATHWAY_weka_svm_weights_r_svm_rbf	0.7	0.75	0.25	0.0	25	0.25	0.1666666666666668	0.3331885998192615	18.0	14.0	4.0	2.0	1.0	1.0	15.0	14.0	1.0	5.0	1.0	4.0	0.9	0.7777777777777778	0.2222222222222222	0.1	0.5	0.5	0.75	0.9333333333333333	0.06666666666666667	0.25	0.2	0.8	86.23704936498534	0.414946455927925	95.69605711616359	15	5	0.1333333333333333
Visvader_REACTOME_ABORTIVE_ELONGATION_OF_HIV1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT_weka_svm_weights_r_svm_rbf	0.72	0.7	0.25	-0.050000000000000044	NA	0.30000000000000004	-0.09090909090909098	0.32627707287855445	19.0	14.0	5.0	1.0	0.0	1.0	15.0	14.0	1.0	5.0	0.0	5.0	0.95	0.7368421052631579	0.2631578947368421	0.05	0.0	1.0	0.75	0.9333333333333333	0.06666666666666667	0.25	0.0	1.0	84.44818356856703	0.4076877754177302	94.02204087920543	14	6	-0.06666666666666665
Visvader_REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE_weka_svm_weights_r_svm_rbf	0.24	0.7	0.25	-0.050000000000000044	NA	0.30000000000000004	-0.09090909090909098	0.41013017514868055	19.0	14.0	5.0	1.0	0.0	1.0	15.0	14.0	1.0	5.0	0.0	5.0	0.95	0.7368421052631579	0.2631578947368421	0.05	0.0	1.0	0.75	0.9333333333333333	0.06666666666666667	0.25	0.0	1.0	106.15133945024672	0.4692895494973235	108.22880612942296	14	6	-0.06666666666666665
Visvader_REACTOME_ACTIVATED_AMPK_STIMULATES_FATTY_ACID_OXIDATION_IN_MUSCLE_weka_svm_weights_r_svm_rbf	0.42666666666666664	0.7	0.25	-0.050000000000000044	NA	0.30000000000000004	-0.09090909090909098	0.4049817361156557	19.0	14.0	5.0	1.0	0.0	1.0	15.0	14.0	1.0	5.0	0.0	5.0	0.95	0.7368421052631579	0.2631578947368421	0.05	0.0	1.0	0.75	0.9333333333333333	0.06666666666666667	0.25	0.0	1.0	104.81880228875795	0.4882163541887879	112.59375624986804	14	6	-0.06666666666666665
